county_FIPS,unemployed_num,unemployment_rate
13145,706,4.2
13147,510,4.5
13149,263,5
13151,5565,4.9
13153,3337,4.8
13155,234,7.1
13157,1323,3.7
13159,302,4.4
13161,378,6.1
13163,425,6.2
13165,218,6.8
13167,212,5.1
13169,615,4.4
13171,460,5.7
13173,200,5.2
13175,1157,5.9
13177,640,4.2
13179,1340,5.2
13181,191,5.3
13183,393,4.9
13185,2453,4.7
13187,708,4.2
13189,567,6.3
13191,317,5.1
13193,334,7
13195,592,4.3
13197,210,6.1
13199,535,6
13201,128,4.5
13205,542,6.3
13207,597,4.5
13209,253,6.7
13211,412,4.5
13213,997,6.2
13215,4784,6
13217,2778,5.4
13219,702,3.6
13221,311,4.4
13223,3494,4.2
13225,703,5.9
13227,653,4.3
13229,407,4.6
13231,395,4.5
13233,987,5.3
13235,220,5.3
13237,482,5.8
13239,50,5.9
13241,347,5
13243,166,6.5
13245,5232,6
13247,2396,5.3
13249,123,5.5
13251,337,6.3
13253,202,6.5
13255,1682,5.9
13257,588,5.3
13259,138,6
13261,894,6.9
13263,175,6.2
13265,39,6.7
13267,483,5
13269,250,8.8
13271,382,7.9
13273,224,6.1
13275,1019,5.9
13277,911,4.7
13279,787,6.6
13281,252,6.6
13283,187,6.8
13285,1677,4.4
13287,188,5.7
13289,228,7.6
13291,467,4.6
13293,629,5.5
13295,1423,4.6
13297,1975,4.4
13299,733,4.6
13301,162,5.9
13303,443,6
13305,661,5.8
13307,76,7.6
13309,159,9.1
13311,618,3.9
13313,2497,5.5
13315,164,5.9
13317,220,5.7
13319,219,5.7
13321,459,4.9
15000,15054,2.2
15001,2388,2.6
15003,9814,2.1
15007,802,2.2
15009,2051,2.3
16000,26320,3.2
16001,6526,2.8
16003,99,5.7
16005,1254,3
16007,89,3.1
16009,221,5.5
16011,678,2.9
16013,311,2.5
16015,151,4.7
16017,858,4.5
16019,1429,2.7
16021,243,4.7
16023,39,2.9
16025,18,2.6
16027,3445,3.6
16029,120,3.1
16031,289,2.5
16033,11,2.8
16035,207,6.9
16037,91,4.2
16039,405,3.6
16041,153,2.3
16043,200,2.6
16045,309,3.9
16047,195,2.4
16049,308,4.9
16051,328,2.5
16053,324,2.8
16055,2896,3.8
16057,526,2.6
16059,179,5.1
16061,94,5.8
16063,86,3.2
16065,396,1.9
16067,291,2.6
16069,596,2.8
16071,64,2.8
16073,208,3.9
16075,451,3.9
16077,133,3.4
16079,313,6.2
16081,154,2.5
16083,1198,3
16085,224,4.4
16087,213,4.6
17000,321075,5
17001,1259,3.9
17003,179,8.4
17005,351,4.4
17007,1756,6.7
17009,82,2.9
17011,854,4.9
17013,126,5.4
17015,353,4.6
17017,279,4.5
17019,4564,4.3
17021,786,5.3
17023,398,5
17025,354,5.3
17027,720,3.5
17029,1145,4.7
17031,135737,5.2
17033,465,5.2
17035,246,4
17037,2546,4.6
17039,363,4.7
17041,420,4.1
17043,20491,4
17045,467,4.9
17047,134,4.7
17049,721,3.8
17051,529,5.5
17053,311,4.8
17055,1075,6.5
17057,991,6.4
17059,147,5.9
17061,306,5.1
17063,1489,5.8
17065,200,4.5
17067,439,5.1
17069,102,7.5
17071,186,5.1
17073,1277,5.1
17075,671,4.6
17077,1260,4.5
17079,224,5
17081,953,5.4
17083,529,4.8
17085,494,4.5
17087,308,7.5
17089,13037,4.8
17091,3010,5.5
17093,2991,4.4
17095,1169,5.2
17097,16841,4.5
17099,3140,5.6
17101,389,6.4
17103,775,4.3
17105,743,4.5
17107,593,4.6
17109,678,5
17111,7427,4.4
17113,3685,4.1
17115,2750,5.5
17117,1124,4.9
17119,6404,4.8
17121,929,5.2
17123,295,5.4
17125,391,6.1
17127,379,6.5
17129,276,4.2
17131,414,5.1
17133,629,3.4
17135,681,5.7
17137,720,4.4
17139,284,3.9
17141,1302,5.1
17143,5063,5.9
17145,506,6
17147,348,4.1
17149,331,4.5
17151,116,6.5
17153,168,7.9
17155,149,5
17157,625,4.4
17159,362,4.8
17161,3644,5.1
17163,6417,5.1
17165,631,6.4
17167,4504,4.4
17169,152,4.6
17171,129,5.2
17173,460,4.4
17175,163,6.3
17177,1012,4.7
17179,3456,5.3
17181,475,6.4
17183,2209,6.5
17185,296,5.2
17187,362,4.2
17189,287,3
17191,429,6.2
17193,330,4.9
17195,1359,4.8
17197,18317,5.1
17199,1638,5.1
17201,8969,6.4
17203,831,4.4
18000,116091,3.5
18001,445,2.6
18003,5950,3.3
18005,1200,2.7
18007,151,3.4
18009,212,4
18011,991,2.8
18013,254,3.4
18015,340,3.4
18017,673,3.8
18019,2096,3.4
18021,452,3.7
18023,513,3
18025,217,4.4
18027,440,2.8
18029,980,3.8
18031,424,2.9
18033,642,2.9
18035,2285,4.2
18037,591,2.6
18039,2808,2.5
18041,449,5
18043,1345,3.3
18045,311,3.9
18047,399,3.6
18049,335,3.4
18051,554,2.9
18053,1218,3.8
18055,636,4.7
18057,4831,2.7
18059,1165,3
18061,682,3.4
18063,2490,2.9
18065,801,3.6
18067,1429,3.8
18069,648,3.5
18071,661,2.9
18073,697,4.3
18075,341,3.5
18077,552,3.7
18079,496,3.8
18081,2360,2.9
18083,628,3.4
18085,1118,2.7
18087,502,2.5
18089,11581,5
18091,2103,4.4
18093,901,4.3
18095,2299,3.9
18097,17233,3.6
18099,715,3
18101,151,2.9
18103,613,3.9
18105,2452,3.6
18107,572,3
18109,1244,3.5
18111,334,4.7
18113,703,3
18115,113,3.6
18117,341,3.9
18119,394,4.3
18121,284,4
18123,349,3.8
18125,212,3.3
18127,3440,4
18129,400,3
18131,218,3.4
18133,595,3.6
18135,481,4.1
18137,491,3.5
18139,269,3
18141,4745,3.5
18143,391,3.7
18145,751,3.3
18147,360,3.3
18149,453,4.3
18151,573,2.9
18153,374,4.4
18155,197,3.9
18157,3028,3.2
18159,257,3
18161,110,3.1
18163,2998,3.2
18165,380,5.3
18167,2032,4.2
18169,520,3.4
18171,136,3.3
18173,1011,3.1
18175,501,3.7
18177,1139,3.7
18179,411,2.9
18181,432,3.2
18183,500,2.9
19000,52142,3.1
19001,115,2.8
19003,50,2.3
19005,299,4
19007,228,3.8
19009,97,3.1
19011,437,3.3
19013,2566,3.7
19015,362,2.4
19017,385,2.8
19019,354,3.2
19021,301,2.6
19023,282,3.6
19025,130,3
19027,252,2.3
19029,256,3.6
19031,312,2.9
19033,710,3
19035,152,2.5
19037,203,3.2
19039,149,3.1
19041,319,3.7
19043,401,3.9
19045,940,4
19047,338,4.1
19049,998,2.1
19051,142,3.3
19053,113,2.6
19055,279,2.6
19057,829,4.2
19059,369,3.6
19061,1624,3
19063,172,3.2
19065,381,3.6
19067,282,3.2
19069,158,2.7
19071,99,2.6
19073,149,2.7
19075,190,2.9
19077,178,3.2
19079,228,3.2
19081,159,2.6
19083,270,3.2
19085,200,2.7
19087,288,3
19089,153,3
19091,159,3
19093,94,2.3
19095,272,2.6
19097,369,3.4
19099,602,3.1
19101,281,3.1
19103,2115,2.5
19105,384,3.6
19107,186,3.6
19109,207,2.4
19111,881,5.4
19113,3969,3.3
19115,199,3.3
19117,122,2.8
19119,122,1.7
19121,299,3.6
19123,372,3.2
19125,456,2.6
19127,835,4.6
19129,201,2.7
19131,123,2.1
19133,164,3.6
19135,148,3.8
19137,155,3.1
19139,717,3.3
19141,193,2.4
19143,75,2.1
19145,246,3.9
19147,131,2.7
19149,350,2.4
